Time;Push Pull #1 (14649);Push Pull #1 (14649) - Setpoint;Push Pull #1 (10);Push Pull #1 (10) - Setpoint;Flow Unit #1 [Push Pull #1 (14649)];Flow Unit #1 [Push Pull #1 (14649)] - Setpoint;Flow Unit #1 [Push Pull #1 (14649)] - Air detected;Link (12501) TTL #1 - Event;Link (12501) TTL #1 - Mode;Link (12501) TTL #2 - Event;Link (12501) TTL #2 - Mode;Link (1) TTL #1 - Event;Link (1) TTL #1 - Mode;Link (1) TTL #2 - Event;Link (1) TTL #2 - Mode
2024-04-06 15:56:14.340;0.6;-0.0;NaN;10.0;1.5;1.5;0;0;;0;;0;;0;
2024-04-06 15:56:14.444;-1.9;-0.0;NaN;10.0;-3.7;-3.7;0;0;;0;;0;;0;
2024-04-06 15:56:14.539;-5.0;-0.0;NaN;10.0;-1.4;-1.4;0;0;;0;;0;;0;
2024-04-06 15:56:14.649;-6.3;-0.0;NaN;10.0;-2.9;-2.9;0;0;;0;;0;;0;
2024-04-06 15:56:14.745;-5.7;-0.0;NaN;10.0;0.7;0.7;0;0;;0;;0;;0;
2024-04-06 15:56:14.841;-4.4;-0.0;NaN;10.0;-0.1;-0.1;0;0;;0;;0;;0;
2024-04-06 15:56:14.936;-3.8;-0.0;NaN;10.0;2.3;2.3;0;0;;0;;0;;0;
2024-04-06 15:56:15.051;-3.2;-0.0;NaN;10.0;1.3;1.3;0;0;;0;;0;;0;
2024-04-06 15:56:15.142;-3.2;-0.0;NaN;10.0;1.6;1.6;0;0;;0;;0;;0;
2024-04-06 15:56:15.237;-3.2;-0.0;NaN;10.0;1.0;1.0;0;0;;0;;0;;0;
2024-04-06 15:56:15.348;-1.9;-0.0;NaN;10.0;0.9;0.9;0;0;;0;;0;;0;
2024-04-06 15:56:15.442;-1.9;-0.0;NaN;10.0;0.3;0.3;0;0;;0;;0;;0;
2024-04-06 15:56:15.538;-1.3;-0.0;NaN;10.0;1.6;1.6;0;0;;0;;0;;0;
2024-04-06 15:56:15.648;-1.3;-0.0;NaN;10.0;-0.6;-0.6;0;0;;0;;0;;0;
2024-04-06 15:56:15.744;-1.3;-0.0;NaN;10.0;-0.7;-0.7;0;0;;0;;0;;0;
