Time;Push Pull #1 (14649);Push Pull #1 (14649) - Setpoint;Push Pull #1 (10);Push Pull #1 (10) - Setpoint;Flow Unit #1 [Push Pull #1 (14649)];Flow Unit #1 [Push Pull #1 (14649)] - Setpoint;Flow Unit #1 [Push Pull #1 (14649)] - Air detected;Link (12501) TTL #1 - Event;Link (12501) TTL #1 - Mode;Link (12501) TTL #2 - Event;Link (12501) TTL #2 - Mode;Link (1) TTL #1 - Event;Link (1) TTL #1 - Mode;Link (1) TTL #2 - Event;Link (1) TTL #2 - Mode
2024-04-06 14:20:46.069;1.3;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.165;0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.264;0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.374;0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.465;0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.575;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.666;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.759;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.876;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:46.966;0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.087;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.166;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.259;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.367;-0.6;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.466;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.576;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
2024-04-06 14:20:47.667;0.0;0.0;NaN;10.0;-0.1;-0.1;1;0;;0;;0;;0;
